nombre_japones,nombre,habilidades,contraataque_insecto,contraataque_siniestro,contraataque_dragon,contraataque_electrico,contraataque_hada,contraataque_lucha,contraataque_fuego,contraataque_volador,contraataque_fantasma,contraataque_planta,contraataque_tierra,contraataque_hielo,contraataque_normal,contraataque_veneno,contraataque_psiquico,contraataque_roca,contraataque_acero,contraataque_agua,ataque,pasos_base_para_eclosion,felicidad_base,total_base,Probabilidad_de_captura,clasificacion,defensa,crecimiento_experiencia,altura_(m),Puntos_de_salud,%_macho,No_Pokedex,ataque_especial,defensa_especial,velocidad,tipo1,tipo2,peso_(kg),generacion,es_legendario
Kolinkコリンク,Shinx,"Rivalry, Intimidate, Guts",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,65,5120,70,263,235,Flash Pokémon,34,1059860,0.5,45,50.0,403,40,34,45,Electric,Ninguno,9.5,4,0
Luxioルクシオ,Luxio,"Rivalry, Intimidate, Guts",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,5120,100,363,120,Spark Pokémon,49,1059860,0.9,60,50.0,404,60,49,60,Electric,Ninguno,30.5,4,0
Rentorarレントラー,Luxray,"Rivalry, Intimidate, Guts",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,120,5120,70,523,45,Gleam Eyes Pokémon,79,1059860,1.4,80,50.0,405,95,79,70,Electric,Ninguno,42.0,4,0
Subomieスボミー,Budew,"Natural Cure, Poison Point, Leaf Guard",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,30,5120,70,280,255,Bud Pokémon,35,1059860,0.2,40,50.0,406,50,70,55,Grass,Poison,1.2,4,0
Roseradeロズレイド,Roserade,"Natural Cure, Poison Point, Technician",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,70,5120,70,515,75,Bouquet Pokémon,65,1059860,0.9,60,50.0,407,125,105,90,Grass,Poison,14.5,4,0
Zugaidosズガイドス,Cranidos,"Mold Breaker, Sheer Force",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,125,7680,70,350,45,Head Butt Pokémon,40,600000,0.9,67,88.1,408,30,30,58,Rock,Ninguno,31.5,4,0
Rampaldラムパルド,Rampardos,"Mold Breaker, Sheer Force",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,165,7680,70,495,45,Head Butt Pokémon,60,600000,1.6,97,88.1,409,65,50,58,Rock,Ninguno,102.5,4,0
Tatetopsタテトプス,Shieldon,"Sturdy, Soundproof",0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0,42,7680,70,350,45,Shield Pokémon,118,600000,0.5,30,88.1,410,42,88,30,Rock,Steel,57.0,4,0
Toridepsトリデプス,Bastiodon,"Sturdy, Soundproof",0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0,52,7680,70,495,45,Shield Pokémon,168,600000,1.3,60,88.1,411,47,138,30,Rock,Steel,149.5,4,0
Minomucchiミノムッチ,Burmy,"Shed Skin, Overcoat",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,29,3840,70,224,120,Bagworm Pokémon,45,1000000,0.2,40,50.0,412,29,45,36,Bug,Ninguno,3.4,4,0
Minomadam (kusaki No Mino)ミノマダム,Wormadam,"Anticipation, Overcoat",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,69,3840,70,424,45,Bagworm Pokémon,95,1000000,0.5,60,0.0,413,69,95,36,Bug,Grass,6.5,4,0
Gamaleガーメイル,Mothim,"Swarm, Tinted Lens",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,94,3840,70,424,45,Moth Pokémon,50,1000000,0.9,70,100.0,414,94,50,66,Bug,Flying,23.3,4,0
Mitsuhoneyミツハニー,Combee,"Honey Gather, Hustle",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,30,3840,70,244,120,Tiny Bee Pokémon,42,1059860,0.3,30,88.1,415,30,42,70,Bug,Flying,5.5,4,0
Beequenビークイン,Vespiquen,"Pressure, Unnerve",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,80,3840,70,474,45,Beehive Pokémon,102,1059860,1.2,70,0.0,416,80,102,40,Bug,Flying,38.5,4,0
Pachirisuパチリス,Pachirisu,"Run Away, Pickup, Volt Absorb",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,45,2560,100,405,200,EleSquirrel Pokémon,70,1000000,0.4,60,50.0,417,45,90,95,Electric,Ninguno,3.9,4,0
Buoyselブイゼル,Buizel,"Swift Swim, Water Veil",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,330,190,Sea Weasel Pokémon,35,1000000,0.7,55,50.0,418,60,30,85,Water,Ninguno,29.5,4,0
Floazelフローゼル,Floatzel,"Swift Swim, Water Veil",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,5120,70,495,75,Sea Weasel Pokémon,55,1000000,1.1,85,50.0,419,85,50,115,Water,Ninguno,33.5,4,0
Cherinboチェリンボ,Cherubi,Chlorophyll,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,35,5120,70,275,190,Cherry Pokémon,45,1000000,0.4,45,50.0,420,62,53,35,Grass,Ninguno,3.3,4,0
Cherrimチェリム,Cherrim,Flower Gift,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,60,5120,70,450,75,Blossom Pokémon,70,1000000,0.5,70,50.0,421,87,78,85,Grass,Ninguno,9.3,4,0
Karanakushiカラナクシ,Shellos,"Sticky Hold, Storm Drain, Sand Force",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,5120,70,325,190,Sea Slug Pokémon,48,1000000,0.3,76,50.0,422,57,62,34,Water,Ninguno,6.3,4,0
Tritodonトリトドン,Gastrodon,"Sticky Hold, Storm Drain, Sand Force",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,83,5120,70,475,75,Sea Slug Pokémon,68,1000000,0.9,111,50.0,423,92,82,39,Water,Ground,29.9,4,0
Etebothエテボース,Ambipom,"Technician, Pickup, Skill Link",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,5120,100,482,45,Long Tail Pokémon,66,800000,1.2,75,50.0,424,60,66,115,Normal,Ninguno,20.3,4,0
Fuwanteフワンテ,Drifloon,"Aftermath, Unburden, Flare Boost",0.25,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,2.0,0.0,0.5,1.0,2.0,1.0,1.0,50,7680,70,348,125,Balloon Pokémon,34,1640000,0.4,90,50.0,425,60,44,70,Ghost,Flying,1.2,4,0
Fuwarideフワライド,Drifblim,"Aftermath, Unburden, Flare Boost",0.25,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.5,0.0,2.0,0.0,0.5,1.0,2.0,1.0,1.0,80,7680,70,498,60,Blimp Pokémon,44,1640000,1.2,150,50.0,426,90,54,80,Ghost,Flying,15.0,4,0
Mimirolミミロル,Buneary,"Run Away, Klutz, Limber",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66,5120,0,350,190,Rabbit Pokémon,44,1000000,0.4,55,50.0,427,44,56,85,Normal,Ninguno,5.5,4,0
Mimilopミミロップ,Lopunny,"Cute Charm, Klutz, Limber",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,136,5120,140,580,60,Rabbit Pokémon,94,1000000,1.2,65,50.0,428,54,96,135,Normal,Ninguno,33.3,4,0
Mumargiムウマージ,Mismagius,Levitate,0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,60,6400,35,495,45,Magical Pokémon,60,800000,0.9,60,50.0,429,105,105,105,Ghost,Ninguno,4.4,4,0
Dongkarasuドンカラス,Honchkrow,"Insomnia, Super Luck, Moxie",1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,125,5120,35,505,30,Big Boss Pokémon,52,1059860,0.9,100,50.0,430,105,52,71,Dark,Flying,27.3,4,0
Nyarmarニャルマー,Glameow,"Limber, Own Tempo, Keen Eye",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,5120,70,310,190,Catty Pokémon,42,800000,0.5,49,24.6,431,42,37,85,Normal,Ninguno,3.9,4,0
Bunyattoブニャット,Purugly,"Thick Fat, Own Tempo, Defiant",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,82,5120,70,452,75,Tiger Cat Pokémon,64,800000,1.0,71,24.6,432,64,59,112,Normal,Ninguno,43.8,4,0
Lisyanリーシャン,Chingling,Levitate,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,30,6400,70,285,120,Bell Pokémon,50,800000,0.2,45,50.0,433,65,50,45,Psychic,Ninguno,0.6,4,0
Skunpuuスカンプー,Stunky,"Stench, Aftermath, Keen Eye",1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,63,5120,70,329,225,Skunk Pokémon,47,1000000,0.4,63,50.0,434,41,41,74,Poison,Dark,19.2,4,0
Skutankスカタンク,Skuntank,"Stench, Aftermath, Keen Eye",1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,93,5120,70,479,60,Skunk Pokémon,67,1000000,1.0,103,50.0,435,71,61,84,Poison,Dark,38.0,4,0
Dohmirrorドーミラー,Bronzor,"Levitate, Heatproof, Heavy Metal",1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0,24,5120,70,300,255,Bronze Pokémon,86,1000000,0.5,57,-1.0,436,24,86,23,Steel,Psychic,60.5,4,0
Dohtakunドータクン,Bronzong,"Levitate, Heatproof, Heavy Metal",1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0,89,5120,70,500,90,Bronze Bell Pokémon,116,1000000,1.3,67,-1.0,437,79,116,33,Steel,Psychic,187.0,4,0
Usohachiウソハチ,Bonsly,"Sturdy, Rock Head, Rattled",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,80,5120,70,290,255,Bonsai Pokémon,95,1000000,0.5,50,50.0,438,10,45,10,Rock,Ninguno,15.0,4,0
Maneneマネネ,Mime Jr.,"Soundproof, Filter, Technician",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,25,6400,70,310,145,Mime Pokémon,45,1000000,0.6,20,50.0,439,70,90,60,Psychic,Fairy,13.0,4,0
Pinpukuピンプク,Happiny,"Natural Cure, Serene Grace, Friend Guard",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,10240,140,220,130,Playhouse Pokémon,5,800000,0.6,100,0.0,440,15,65,30,Normal,Ninguno,24.4,4,0
Perapペラップ,Chatot,"Keen Eye, Tangled Feet, Big Pecks",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,65,5120,35,411,30,Music Note Pokémon,45,1059860,0.5,76,50.0,441,92,42,91,Normal,Flying,1.9,4,0
Mikarugeミカルゲ,Spiritomb,"Pressure, Infiltrator",1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,92,7680,70,485,100,Forbidden Pokémon,108,1000000,1.0,50,50.0,442,92,108,35,Ghost,Dark,108.0,4,0
Fukamaruフカマル,Gible,"Sand Veil, Rough Skin",1.0,1.0,2.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0,70,10240,70,300,45,Land Shark Pokémon,45,1250000,0.7,58,50.0,443,40,45,42,Dragon,Ground,20.5,4,0
Gabiteガバイト,Gabite,"Sand Veil, Rough Skin",1.0,1.0,2.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0,90,10240,70,410,45,Cave Pokémon,65,1250000,1.4,68,50.0,444,50,55,82,Dragon,Ground,56.0,4,0
Gaburiasガブリアス,Garchomp,"Sand Veil, Rough Skin",1.0,1.0,2.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0,170,10240,70,700,45,Mach Pokémon,115,1250000,1.9,108,50.0,445,120,95,92,Dragon,Ground,95.0,4,0
Gonbeゴンベ,Munchlax,"Pickup, Thick Fat, Gluttony",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,85,10240,70,390,50,Big Eater Pokémon,40,1250000,0.6,135,88.1,446,40,85,5,Normal,Ninguno,105.0,4,0
Rioluリオル,Riolu,"Steadfast, Inner Focus, Prankster",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,70,6400,70,285,75,Emanation Pokémon,40,1059860,0.7,40,88.1,447,35,40,60,Fighting,Ninguno,20.2,4,0
Lucarioルカリオ,Lucario,"Steadfast, Inner Focus, Justified",0.25,0.5,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,2.0,0.5,0.5,0.0,1.0,0.25,0.5,1.0,145,6400,70,625,45,Aura Pokémon,88,1059860,1.2,70,88.1,448,140,70,112,Fighting,Steel,54.0,4,0
Hippopotasヒポポタス,Hippopotas,"Sand Stream, Sand Force",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,72,7680,70,330,140,Hippo Pokémon,78,1250000,0.8,68,50.0,449,38,42,32,Ground,Ninguno,49.5,4,0
Kabaldonカバルドン,Hippowdon,"Sand Stream, Sand Force",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,112,7680,70,525,60,Heavyweight Pokémon,118,1250000,2.0,108,50.0,450,68,72,47,Ground,Ninguno,300.0,4,0
Scorupiスコルピ,Skorupi,"Battle Armor, Sniper, Keen Eye",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,50,5120,70,330,120,Scorpion Pokémon,90,1250000,0.8,40,50.0,451,30,55,65,Poison,Bug,12.0,4,0
Dorapionドラピオン,Drapion,"Battle Armor, Sniper, Keen Eye",1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,90,5120,70,500,45,Ogre Scorp Pokémon,110,1250000,1.3,70,50.0,452,60,75,95,Poison,Dark,61.5,4,0
Gureggruグレッグル,Croagunk,"Anticipation, Dry Skin, Poison Touch",0.25,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,0.5,2.0,1.0,1.0,0.5,4.0,0.5,1.0,1.0,61,2560,100,300,140,Toxic Mouth Pokémon,40,1000000,0.7,48,50.0,453,61,40,50,Poison,Fighting,23.0,4,0
Dokurogドクロッグ,Toxicroak,"Anticipation, Dry Skin, Poison Touch",0.25,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,0.5,2.0,1.0,1.0,0.5,4.0,0.5,1.0,1.0,106,5120,70,490,75,Toxic Mouth Pokémon,65,1000000,1.3,83,50.0,454,86,65,85,Poison,Fighting,44.4,4,0
Muskippaマスキッパ,Carnivine,Levitate,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,100,6400,70,454,200,Bug Catcher Pokémon,72,1250000,1.4,74,50.0,455,90,72,46,Grass,Ninguno,27.0,4,0
Keikouoケイコウオ,Finneon,"Swift Swim, Storm Drain, Water Veil",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,49,5120,70,330,190,Wing Fish Pokémon,56,600000,0.4,49,50.0,456,49,61,66,Water,Ninguno,7.0,4,0
Neolantネオラント,Lumineon,"Swift Swim, Storm Drain, Water Veil",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,69,5120,70,460,75,Neon Pokémon,76,600000,1.2,69,50.0,457,69,86,91,Water,Ninguno,24.0,4,0
Tamantaタマンタ,Mantyke,"Swift Swim, Water Absorb, Water Veil",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,20,6400,70,345,25,Kite Pokémon,50,1250000,1.0,45,50.0,458,60,120,50,Water,Flying,65.0,4,0
Yukikaburiユキカブリ,Snover,"Snow Warning, Soundproof",2.0,1.0,1.0,0.5,1.0,2.0,4.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,2.0,2.0,0.5,62,5120,70,334,120,Frosted Tree Pokémon,50,1250000,1.0,60,50.0,459,62,60,40,Grass,Ice,50.5,4,0
Yukinoohユキノオー,Abomasnow,"Snow Warning, Soundproof",2.0,1.0,1.0,0.5,1.0,2.0,4.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,2.0,2.0,0.5,132,5120,70,594,60,Frosted Tree Pokémon,105,1250000,2.2,90,50.0,460,132,105,30,Grass,Ice,135.5,4,0
Manyulaマニューラ,Weavile,"Pressure, Pickpocket",2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0,120,5120,35,510,45,Sharp Claw Pokémon,65,1059860,1.1,70,50.0,461,45,85,125,Dark,Ice,34.0,4,0
Jibacoilジバコイル,Magnezone,"Magnet Pull, Sturdy, Analytic",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,70,5120,70,535,30,Magnet Area Pokémon,115,1000000,1.2,70,-1.0,462,130,90,60,Electric,Steel,180.0,4,0
Berobeltベロベルト,Lickilicky,"Own Tempo, Oblivious, Cloud Nine",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,85,5120,70,515,30,Licking Pokémon,95,1000000,1.7,110,50.0,463,80,95,50,Normal,Ninguno,140.0,4,0
Dosidonドサイドン,Rhyperior,"Lightningrod, Solid Rock, Reckless",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,140,5120,70,535,30,Drill Pokémon,130,1250000,2.4,115,50.0,464,55,55,40,Ground,Rock,282.8,4,0
Mojumboモジャンボ,Tangrowth,"Chlorophyll, Leaf Guard, Regenerator",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,100,5120,70,535,30,Vine Pokémon,125,1000000,2.0,100,50.0,465,110,50,50,Grass,Ninguno,128.6,4,0
Elekibleエレキブル,Electivire,"Motor Drive, Vital Spirit",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,123,6400,70,540,30,Thunderbolt Pokémon,67,1000000,1.8,75,75.4,466,95,85,95,Electric,Ninguno,138.6,4,0
Booburnブーバーン,Magmortar,"Flame Body, Vital Spirit",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,95,6400,70,540,30,Blast Pokémon,67,1000000,1.6,75,75.4,467,125,95,83,Fire,Ninguno,68.0,4,0
Togekissトゲキッス,Togekiss,"Hustle, Serene Grace, Super Luck",0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,50,2560,70,545,30,Jubilee Pokémon,95,800000,1.5,85,88.1,468,120,115,80,Fairy,Flying,38.0,4,0
Megayanmaメガヤンマ,Yanmega,"Speed Boost, Tinted Lens, Frisk",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,76,5120,70,515,30,Ogre Darner Pokémon,86,1000000,1.9,86,50.0,469,116,56,95,Bug,Flying,51.5,4,0
Leafiaリーフィア,Leafeon,"Leaf Guard, Chlorophyll",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,110,8960,35,525,45,Verdant Pokémon,130,1000000,1.0,65,88.1,470,60,65,95,Grass,Ninguno,25.5,4,0
Glaciaグレイシア,Glaceon,"Snow Cloak, Ice Body",1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,60,8960,35,525,45,Fresh Snow Pokémon,110,1000000,0.8,65,88.1,471,130,95,65,Ice,Ninguno,25.9,4,0
Glionグライオン,Gliscor,"Hyper Cutter, Sand Veil, Poison Heal",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,95,5120,70,510,30,Fang Scorp Pokémon,125,1059860,2.0,75,50.0,472,45,75,95,Ground,Flying,42.5,4,0
Mammooマンムー,Mamoswine,"Oblivious, Snow Cloak, Thick Fat",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,130,5120,70,530,50,Twin Tusk Pokémon,80,1250000,2.5,110,50.0,473,70,60,80,Ice,Ground,291.0,4,0
Porygon-zポリゴンＺ,Porygon-Z,"Adaptability, Download, Analytic",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,70,535,30,Virtual Pokémon,70,1000000,0.9,85,-1.0,474,135,75,90,Normal,Ninguno,34.0,4,0
Erureidoエルレイド,Gallade,"Steadfast, Justified",1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,165,5120,35,618,45,Blade Pokémon,95,1250000,1.6,68,100.0,475,65,115,110,Psychic,Fighting,52.0,4,0
Dainoseダイノーズ,Probopass,"Sturdy, Magnet Pull, Sand Force",0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0,55,5120,70,525,60,Compass Pokémon,145,1000000,1.4,60,50.0,476,75,150,40,Rock,Steel,340.0,4,0
Yonoirヨノワール,Dusknoir,"Pressure, Frisk",0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,100,6400,35,525,45,Gripper Pokémon,135,800000,2.2,45,50.0,477,65,135,45,Ghost,Ninguno,106.6,4,0
Yukimenokoユキメノコ,Froslass,"Snow Cloak, Cursed Body",0.5,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.5,0.0,0.5,1.0,2.0,2.0,1.0,80,5120,70,480,75,Snow Land Pokémon,70,1000000,1.3,70,0.0,478,80,70,110,Ice,Ghost,26.6,4,0
Rotomロトム,Rotom,Levitate,0.5,2.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,65,5120,70,520,45,Plasma Pokémon,107,1000000,0.3,50,-1.0,479,105,107,86,Electric,Ghost,0.3,4,0
Yuxieユクシー,Uxie,Levitate,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,75,20480,140,580,3,Knowledge Pokémon,130,1250000,0.3,75,-1.0,480,75,130,95,Psychic,Ninguno,0.3,4,1
Emritエムリット,Mesprit,Levitate,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,105,20480,140,580,3,Emotion Pokémon,105,1250000,0.3,80,-1.0,481,105,105,80,Psychic,Ninguno,0.3,4,1
Agnomeアグノム,Azelf,Levitate,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,125,20480,140,580,3,Willpower Pokémon,70,1250000,0.3,75,-1.0,482,125,70,115,Psychic,Ninguno,0.3,4,1
Dialgaディアルガ,Dialga,"Pressure, Telepathy",0.5,1.0,1.0,0.5,1.0,2.0,1.0,0.5,1.0,0.25,2.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,120,30720,0,680,3,Temporal Pokémon,120,1250000,5.4,100,-1.0,483,150,100,90,Steel,Dragon,683.0,4,1
